Overall_Place,First_Name,Last_Name,Country,SN,Sex,Net_time,Gross_time,split_times,5k,5k_split,10k,10k_split,15k,15k_split,20k,20k_split,HM,HM_split,25k,25k_split,30k,30k_split,35k,35k_split,40k,40k_split
1,Josephat,Kiprono,KEN,2,M,02:06:44,02:06:44,Split times,5km,00:15:09,10km,00:30:21,15km,00:45:25,20km,01:00:34,HM,01:03:54,25km,01:14:54,30km,01:30:10,35km,01:45:05,40km,02:00:08
2,Takayuki,Inubushi,JPN,27,M,02:06:57,02:06:57,Split times,5km,00:15:09,10km,00:30:21,15km,00:45:27,20km,01:00:36,HM,01:03:54,25km,01:14:56,30km,01:30:18,35km,01:45:21,40km,02:00:18
3,Samson,Kandie,KEN,3,M,02:08:31,02:08:31,Split times,5km,00:15:10,10km,00:30:21,15km,00:45:27,20km,01:00:35,HM,01:03:54,25km,01:14:55,30km,01:30:18,35km,01:45:59,40km,02:01:41
4,Hicham,Chatt,MAR,83,M,02:09:56,02:09:56,Split times,5km,00:15:11,10km,00:30:23,15km,00:45:27,20km,01:00:36,HM,01:03:55,25km,01:14:56,30km,01:30:24,35km,01:46:14,40km,02:02:52
5,Henry,Cherono,KEN,85,M,02:10:37,02:10:37,Split times,5km,00:15:10,10km,00:30:21,15km,00:00:00,20km,01:00:35,HM,01:03:55,25km,01:14:55,30km,01:30:18,35km,01:46:14,40km,02:02:58
6,Waldemar,Glinka,POL,35,M,02:11:53,02:11:53,Split times,5km,00:15:11,10km,00:30:33,15km,00:46:08,20km,01:01:33,HM,01:04:58,25km,01:16:52,30km,01:33:41,35km,01:49:56,40km,02:05:18
7,Eduardo do,Nascimento,BRA,7,M,02:12:12,02:12:12,Split times,5km,00:15:11,10km,00:30:22,15km,00:45:27,20km,01:00:35,HM,01:03:56,25km,01:15:30,30km,01:31:59,35km,01:48:13,40km,02:04:43
8,Stephen,Ndungu,KEN,17,M,02:12:23,02:12:23,Split times,5km,00:15:11,10km,00:30:23,15km,00:45:38,20km,01:01:07,HM,01:04:32,25km,01:16:22,30km,01:32:54,35km,01:48:57,40km,02:05:12
9,Daisuke,Tokunaga,JPN,19,M,02:13:09,02:13:09,Split times,5km,00:15:13,10km,00:30:32,15km,00:46:07,20km,01:01:32,HM,01:04:58,25km,01:16:49,30km,01:33:41,35km,01:49:56,40km,02:06:02
10,José Teles,de Souza,BRA,84,M,02:13:25,02:13:25,Split times,5km,00:00:00,10km,00:30:21,15km,00:45:27,20km,01:00:49,HM,01:04:15,25km,01:16:00,30km,01:32:36,35km,01:49:00,40km,02:05:45
11,Joseph,Kariuki,KEN,18,M,02:13:58,02:13:58,Split times,5km,00:15:11,10km,00:30:22,15km,00:45:26,20km,01:00:34,HM,01:03:55,25km,01:15:39,30km,01:32:14,35km,01:48:47,40km,02:06:05
12,Ezael,Thlobo,RSA,9,M,02:14:35,02:14:35,Split times,5km,00:15:11,10km,00:30:22,15km,00:45:32,20km,01:00:49,HM,01:04:15,25km,01:16:01,30km,01:32:37,35km,01:49:13,40km,02:06:27
13,Grzegorz,Glogosz,POL,31,M,02:14:55,02:14:55,Split times,5km,00:15:08,10km,00:30:31,15km,00:00:00,20km,01:01:31,HM,01:04:57,25km,01:16:52,30km,01:33:39,35km,01:50:17,40km,02:07:21
14,Kei,Yokoyama,JPN,22,M,02:15:33,02:15:33,Split times,5km,00:15:10,10km,00:30:33,15km,00:46:13,20km,01:02:01,HM,01:05:32,25km,01:17:36,30km,01:34:18,35km,01:50:57,40km,02:07:56
15,Seiji,Kobayashi,JPN,24,M,02:15:46,02:15:46,Split times,5km,00:15:14,10km,00:30:57,15km,00:46:57,20km,01:03:15,HM,01:06:52,25km,01:19:24,30km,01:36:30,35km,00:00:00,40km,02:08:46
16,Joseph,Negolepus,KEN,74,M,02:16:39,02:16:39,Split times,5km,00:15:11,10km,00:30:21,15km,00:45:26,20km,01:00:34,HM,01:03:54,25km,01:15:05,30km,01:31:55,35km,01:48:50,40km,02:07:52
