Overall_Place,First_Name,Last_Name,Country,SN,Sex,Net_time,Gross_time,split_times,5k,5k_split,10k,10k_split,15k,15k_split,20k,20k_split,HM,HM_split,25k,25k_split,30k,30k_split,35k,35k_split,40k,40k_split
1,Eliud,Kipchoge,KEN,2,M,02:03:32,02:03:32,Split times,5km,00:14:28,10km,00:29:05,15km,00:43:44,20km,00:58:18,HM,01:01:29,25km,01:12:50,30km,01:27:24,35km,01:42:04,40km,01:57:08
2,Guye,Adola,ETH,45,M,02:03:46,02:03:46,Split times,5km,00:14:29,10km,00:29:04,15km,00:43:45,20km,00:58:18,HM,01:01:29,25km,01:12:50,30km,01:27:24,35km,01:42:04,40km,01:57:08
3,Mosinet,Geremew,ETH,10,M,02:06:09,02:06:09,Split times,5km,00:14:53,10km,00:29:48,15km,00:44:40,20km,00:59:40,HM,01:02:57,25km,01:14:36,30km,01:29:37,35km,01:44:22,40km,01:59:39
4,Felix,Kandie,KEN,5,M,02:06:13,02:06:13,Split times,5km,00:00:00,10km,00:29:47,15km,00:44:40,20km,00:59:40,HM,01:02:57,25km,01:14:35,30km,01:29:37,35km,01:44:21,40km,01:59:38
5,Vincent,Kipruto,KEN,52,M,02:06:14,02:06:14,Split times,5km,00:14:28,10km,00:29:04,15km,00:43:46,20km,00:58:19,HM,01:01:29,25km,01:12:51,30km,01:27:33,35km,01:43:07,40km,01:59:24
6,Yuta,Shitara,JPN,9,M,02:09:03,02:09:03,Split times,5km,00:14:51,10km,00:29:47,15km,00:44:41,20km,00:59:40,HM,01:02:57,25km,01:14:44,30km,01:30:11,35km,01:45:54,40km,02:02:11
7,Hiroaki,Sano,JPN,7,M,02:11:24,02:11:24,Split times,5km,00:15:14,10km,00:30:42,15km,00:46:21,20km,01:01:47,HM,01:05:10,25km,01:17:17,30km,01:32:54,35km,01:48:40,40km,02:04:39
8,Ryan,Vail,USA,14,M,02:12:40,02:12:40,Split times,5km,00:15:36,10km,00:31:09,15km,00:46:50,20km,01:02:25,HM,01:05:47,25km,01:18:01,30km,01:33:47,35km,01:49:33,40km,02:05:54
9,Liam,Adams,AUS,22,M,02:12:52,02:12:52,Split times,5km,00:15:37,10km,00:31:09,15km,00:46:49,20km,01:02:28,HM,01:05:48,25km,01:18:02,30km,01:33:49,35km,01:49:33,40km,02:05:56
10,Jonathan,Mellor,GBR,34,M,02:12:57,02:12:57,Split times,5km,00:15:37,10km,00:31:09,15km,00:46:50,20km,01:02:27,HM,01:05:47,25km,01:18:01,30km,01:33:48,35km,01:49:33,40km,02:05:56
11,Benjamin,Malaty,FRA,17,M,02:13:10,02:13:10,Split times,5km,00:15:36,10km,00:31:09,15km,00:46:47,20km,01:02:27,HM,01:05:47,25km,01:18:01,30km,01:33:49,35km,01:49:32,40km,02:05:58
12,Melaku,Belachew,ETH,12,M,02:13:22,02:13:22,Split times,5km,00:15:14,10km,00:30:42,15km,00:46:16,20km,01:01:47,HM,01:05:10,25km,01:17:17,30km,01:32:54,35km,01:48:40,40km,02:05:27
13,Koji,Gokaya,JPN,8,M,02:14:28,02:14:28,Split times,5km,00:15:14,10km,00:30:41,15km,00:46:21,20km,01:01:47,HM,01:05:10,25km,01:17:17,30km,01:32:54,35km,01:48:41,40km,02:05:59
14,Dmytro,Lashyn,UKR,46,M,02:14:45,02:14:45,Split times,5km,00:15:37,10km,00:31:08,15km,00:46:50,20km,01:02:28,HM,01:05:48,25km,01:18:04,30km,01:33:49,35km,01:50:09,40km,02:07:30
15,Chalachew,Tiruneh,ETH,16,M,02:15:05,02:15:05,Split times,5km,00:15:14,10km,00:30:42,15km,00:46:21,20km,01:01:48,HM,01:05:10,25km,01:17:19,30km,01:32:55,35km,01:49:27,40km,02:07:09
16,Adrian,Lehmann,SUI,27,M,02:15:12,02:15:12,Split times,5km,00:15:52,10km,00:31:43,15km,00:47:34,20km,01:03:33,HM,01:07:03,25km,01:19:36,30km,01:35:41,35km,01:51:41,40km,02:08:13
17,Masato,Kikuchi,JPN,38,M,02:15:32,02:15:32,Split times,5km,00:15:15,10km,00:30:42,15km,00:46:21,20km,01:01:48,HM,01:05:10,25km,01:17:17,30km,01:33:14,35km,01:50:36,40km,02:08:06
18,Willem,van Schuerbeeck,BEL,20,M,02:15:49,02:15:49,Split times,5km,00:15:51,10km,00:31:43,15km,00:47:28,20km,01:03:15,HM,01:06:40,25km,01:19:07,30km,01:35:17,35km,01:51:44,40km,02:08:44
19,Kevin,Seaward,IRL,25,M,02:15:50,02:15:50,Split times,5km,00:16:12,10km,00:32:24,15km,00:48:25,20km,01:04:24,HM,01:07:55,25km,01:20:32,30km,01:36:31,35km,01:52:35,40km,02:08:54
20,Matt,Sharp,GBR,40,M,02:16:02,02:16:02,Split times,5km,00:15:52,10km,00:31:42,15km,00:47:29,20km,01:03:16,HM,01:06:40,25km,01:19:08,30km,01:35:17,35km,01:51:42,40km,02:08:45
21,Gaspar,Csere,HUN,31,M,02:16:03,02:16:03,Split times,5km,00:15:52,10km,00:31:43,15km,00:47:29,20km,01:03:16,HM,01:06:41,25km,01:19:07,30km,01:35:17,35km,01:51:44,40km,02:08:44
22,Ebrahim,Abdulaziz,NOR,35,M,02:16:38,02:16:38,Split times,5km,00:15:52,10km,00:31:43,15km,00:47:29,20km,01:03:16,HM,01:06:41,25km,01:19:07,30km,01:35:17,35km,01:52:20,40km,02:09:38
23,Rene,Cuneaz,ITA,28,M,02:16:53,02:16:53,Split times,5km,00:00:00,10km,00:31:32,15km,00:47:44,20km,01:03:57,HM,01:07:29,25km,01:20:11,30km,01:36:36,35km,01:53:08,40km,02:09:54
24,Paul,Martelletti,NZL,36,M,02:17:10,02:17:10,Split times,5km,00:15:53,10km,00:31:43,15km,00:47:44,20km,01:04:12,HM,01:07:49,25km,01:20:32,30km,01:36:52,35km,01:53:32,40km,02:10:16
25,Brandon,Mull,USA,95,M,02:17:17,02:17:17,Split times,5km,00:16:35,10km,00:33:01,15km,00:49:28,20km,01:05:55,HM,01:09:31,25km,01:22:15,30km,01:38:25,35km,01:54:25,40km,02:10:31
26,Christian,Kreienbï¿½hl,SUI,23,M,02:17:17,02:17:17,Split times,5km,00:16:27,10km,00:33:01,15km,00:49:26,20km,01:05:37,HM,01:09:10,25km,01:21:57,30km,01:38:07,35km,01:54:08,40km,02:10:21
27,Peter,Herzog,AUT,111,M,02:17:37,02:17:37,Split times,5km,00:16:13,10km,00:32:25,15km,00:48:49,20km,01:05:13,HM,01:08:48,25km,00:00:00,30km,01:37:32,35km,01:53:39,40km,02:10:21
28,David,Criniti,AUS,122,M,02:17:57,02:17:57,Split times,5km,00:16:36,10km,00:32:57,15km,00:49:16,20km,01:05:36,HM,01:09:10,25km,01:21:56,30km,01:38:08,35km,01:54:23,40km,02:10:56
