Overall_Place,First_Name,Last_Name,Country,SN,Sex,Net_time,Gross_time,split_times,5k,5k_split,10k,10k_split,15k,15k_split,20k,20k_split,HM,HM_split,25k,25k_split,30k,30k_split,35k,35k_split,40k,40k_split
1,Guye,Adola,ETH,2,M,2:05:45,02:05:45,Split times,5km,0:14:23,10km,0:28:47,15km,0:43:12,20km,0:57:37,HM,1:00:48,25km,1:12:41,30km,1:27:48,35km,1:43:09,40km,1:59:08
2,Bethwel,Yegon,KEN,15,M,2:06:14,02:06:14,Split times,5km,0:14:55,10km,0:29:40,15km,0:44:26,20km,0:59:04,HM,1:02:14,25km,1:13:47,30km,1:28:26,35km,1:43:26,40km,1:59:10
3,Kenenisa,Bekele,ETH,1,M,2:06:47,02:06:47,Split times,5km,0:14:22,10km,0:28:47,15km,0:43:12,20km,0:57:48,HM,1:01:00,25km,1:12:46,30km,1:27:48,35km,1:43:12,40km,1:59:45
4,Tadu,Abate,ETH,6,M,2:08:24,02:08:24,Split times,5km,0:14:56,10km,0:29:40,15km,0:44:27,20km,0:59:05,HM,1:02:15,25km,1:13:49,30km,1:29:09,35km,1:45:04,40km,2:01:22
5,Cosmas,Muteti,KEN,36,M,2:08:45,02:08:45,Split times,5km,0:15:05,10km,0:30:15,15km,0:45:37,20km,1:00:43,HM,1:04:00,25km,1:15:48,30km,1:30:51,35km,1:46:12,40km,2:01:58
6,Philemon,Kacheran,KEN,4,M,2:09:29,02:09:29,Split times,5km,0:14:23,10km,0:28:48,15km,0:43:12,20km,0:57:37,HM,1:00:48,25km,1:12:42,30km,1:27:48,35km,1:43:25,40km,2:01:21
7,Okbay,Tsegay,ERI,11,M,2:10:37,02:10:37,Split times,5km,0:14:56,10km,0:29:40,15km,0:44:27,20km,0:59:06,HM,1:02:15,25km,1:13:49,30km,1:29:36,35km,1:45:33,40km,2:02:54
8,Bernard,Kimeli,KEN,20,M,2:10:50,02:10:50,Split times,5km,0:14:55,10km,0:29:40,15km,0:44:26,20km,0:59:05,HM,1:02:14,25km,1:13:48,30km,1:29:00,35km,1:45:37,40km,2:03:27
9,Hidekazu,Hijikata,JPN,9,M,2:11:47,02:11:47,Split times,5km,0:14:56,10km,0:29:41,15km,0:44:26,20km,0:59:05,HM,1:02:17,25km,1:14:24,30km,1:30:44,35km,1:47:06,40km,2:04:17
10,Hosea,Kipkemboi,KEN,25,M,2:12:25,02:12:25,Split times,5km,0:15:20,10km,0:30:43,15km,0:46:06,20km,1:01:44,HM,1:05:11,25km,1:17:12,30km,1:33:06,35km,1:49:18,40km,2:05:35
