year,avg_time,fastest,median_time,slowest,PRECIP_mm,SUNSHINE_hrs,CLOUD_hrs,ATMOS_PRESS_mbar,AVG_TEMP_C,MAX_TEMP_C,MIN_TEMP_C
1974,15052.725409836066,9893.0,14908.5,21353.0,0.0,0.2,7.0,1009.5,5.4,8.8,1.1
1975,14735.639484978541,10028.0,14251.0,21582.0,4.2,9.4,3.0,1011.4,14.3,20.1,9.5
1976,13177.877813504823,8588.0,12712.0,21719.0,3.0,10.2,3.3,1010.4,12.8,18.0,7.3
1977,12382.859649122807,8180.0,12214.0,19076.0,11.2,0.0,8.0,1013.1,9.7,12.5,7.4
1978,,,,,1.8,2.7,6.0,1000.6,11.2,14.5,9.4
1979,12584.32882882883,8469.0,12427.5,19570.0,0.0,5.4,2.0,1019.0,8.4,15.2,2.9
1980,,,,,0.0,10.1,0.7,1017.5,9.8,17.5,4.9
1981,13590.503534956795,8142.0,13440.5,28723.0,0.1,3.6,7.3,1000.9,16.3,21.5,14.8
1982,13874.243329466357,7924.0,13819.5,18428.0,0.7,10.1,1.0,1004.0,17.6,25.4,12.0
1983,13181.54410245817,7928.0,13087.0,18626.0,0.0,9.8,2.3,1021.4,11.2,20.3,9.3
1984,12754.513846997532,8015.0,12596.0,19213.0,3.9,0.1,7.3,1004.5,12.6,15.7,8.5
1985,12744.029075698836,7440.0,12577.5,28278.0,0.0,8.7,5.0,1019.9,10.3,15.4,6.0
1986,12873.59538784067,7860.0,12780.0,19620.0,0.0,6.5,5.0,1024.7,11.1,17.8,8.0
1987,12915.768289795597,7860.0,12780.0,20760.0,0.0,9.9,1.0,1017.7,9.7,15.2,4.4
1988,12786.573742407725,7860.0,12720.0,22380.0,4.2,0.0,7.0,994.4,13.0,15.4,6.3
1989,12914.692959436155,7800.0,12780.0,21300.0,0.1,1.8,5.7,1014.3,11.5,14.8,5.0
1990,13025.278079620666,7680.0,13140.0,16140.0,0.5,0.1,7.3,1000.4,15.2,18.5,11.2
1991,13336.133360439113,7800.0,13140.0,20700.0,0.0,0.9,7.3,994.9,14.4,18.2,8.4
1992,13764.708456784898,7687.0,13767.0,28324.0,0.0,10.2,0.3,1011.1,13.9,22.7,6.7
1993,13383.207219346146,7857.0,13272.0,28506.0,0.0,0.7,7.3,1000.4,12.4,15.9,10.4
1994,13647.329280563476,7711.0,13506.0,23415.0,0.0,1.9,4.3,1010.3,13.8,18.8,10.7
1995,13710.812047244095,7622.0,13570.0,20342.0,0.0,7.4,4.7,1006.4,14.3,19.8,11.1
1996,13266.034019583229,7755.0,13166.0,28555.0,7.0,0.0,8.0,1010.4,11.7,14.1,6.7
1997,13784.09431317581,7661.0,13669.0,28539.0,0.0,11.4,1.0,1010.3,10.0,19.0,4.6
1998,14260.089368185498,7565.0,14085.0,35381.0,0.0,9.9,1.0,1026.8,13.8,19.8,10.3
1999,14178.979350724032,7604.0,14057.0,22687.0,1.2,0.0,6.3,997.7,15.1,17.0,12.9
2000,14850.627824642685,7662.0,14704.0,25254.0,0.0,5.7,6.3,1014.1,16.8,21.3,14.5
2001,14441.143222704715,7727.0,14264.0,22161.0,4.5,0.0,7.5,1006.0,13.0,15.3,10.8
2002,14458.792612512852,7607.0,14289.0,23786.0,0.0,0.0,7.3,1020.6,12.4,16.4,9.8
2003,14729.884756911655,7495.0,14518.0,24936.0,9.8,7.4,4.3,1005.9,12.0,18.7,4.4
2004,14600.538790949968,7604.0,14339.0,25168.0,0.6,0.6,6.5,1008.8,10.8,13.7,9.0
2005,15050.66052085734,7661.0,14885.0,25562.0,0.0,10.6,2.0,1007.2,15.8,23.2,10.0
2006,15372.031906434298,7556.0,15211.0,27748.0,0.0,11.3,0.1,1005.2,19.4,27.6,12.2
2007,14816.475066182355,7466.0,14535.0,24753.0,0.0,0.8,7.0,1012.5,13.1,16.0,11.1
2008,14820.99168812269,7439.0,14542.0,25098.0,0.0,10.6,2.2,1013.6,11.3,17.9,5.4
2009,15170.031757818078,7568.0,15007.0,26571.0,0.0,10.9,0.6,1009.1,16.3,25.4,8.8
2010,14746.745389841475,7508.0,14462.0,25764.0,29.8,0.0,7.8,995.8,10.5,11.3,9.7
2011,14997.53335966458,7418.0,14716.0,25730.0,0.0,11.3,0.8,1010.3,13.6,22.1,7.1
2012,14790.325065655092,7455.0,14464.0,27984.0,0.0,8.9,1.6,1011.01,10.5,16.6,5.0
2013,14718.761686727168,7403.0,14381.0,25321.0,0.0,10.7,1.4,1008.9,8.9,15.2,4.4
2014,14869.665952668855,7377.0,14516.0,25666.0,0.0,9.78,4.5,1016.39,12.7,21.2,5.1
2015,14830.948902130438,7440.0,14479.0,25646.0,0.0,8.93,2.0,1021.4,10.1,16.9,5.2
2016,15158.214581423133,7383.0,14834.0,31293.0,0.0,10.43,5.6,1012.05,14.5,23.0,8.3
2017,15136.33829640772,7412.0,14832.0,31639.0,0.3,1.5,7.5,1012.53,14.2,16.4,12.3
2018,15539.874584778918,7299.0,15207.0,27608.0,0.0,7.75,5.6,1013.82,14.9,22.4,9.0
2019,14559.722041823614,7301.0,14205.5,26769.0,8.0,0.7,6.8,993.62,14.0,16.4,11.2
