rank,name,date,pace,heart_rate,time,gender
1,John Reed,30-Jan-21,6:04/mi,156bpm,2:38:53,male
2,Eric Ellis_FORMULA 369,3-Feb-18,6:08/mi,163bpm,2:40:21,male
3,Andy Ellingson,30-Jan-21,6:12/mi,163bpm,2:42:21,male
4,Vincent Putrino,30-Jan-21,6:13/mi,-,2:42:45,male
5,Sean Handel,30-Jan-21,6:18/mi,157bpm,2:44:44,male
6,Joe Allen,30-Jan-21,6:20/mi,164bpm,2:45:29,male
7,Derik Harrison,30-Jan-21,6:26/mi,152bpm,2:48:25,male
8,Jason Wheat | Bayou Rougarou,3-Feb-18,6:27/mi,165bpm,2:48:34,male
9,Greg Harris,30-Jan-21,6:29/mi,-,2:49:30,male
10,Hunter McIntyre,30-Jan-21,6:41/mi,149bpm,2:55:02,male
11,Seth Brazier,29-Jan-22,6:46/mi,-,2:56:55,male
12,Raj Hathiramani,2-Feb-19,6:46/mi,156bpm,2:56:57,male
13,The Man From Del Monte .,30-Jan-21,6:46/mi,156bpm,2:57:09,male
14,Art Chasovskykh,2-Feb-19,6:48/mi,169bpm,2:57:43,male
15,Scott Hickenlooper,30-Jan-21,6:51/mi,-,2:59:22,male
16,Brian Tambourine,30-Jan-21,6:54/mi,161bpm,3:00:27,male
17,Jason Crum,30-Jan-21,6:54/mi,182bpm,3:00:44,male
18,Michael Nunez,2-Feb-19,6:58/mi,179bpm,3:02:09,male
19,Dave Hall,29-Jan-22,7:01/mi,158bpm,3:03:43,male
20,Alex Schiffman,29-Jan-22,7:08/mi,179bpm,3:06:33,male
21,Mark Griffitts,30-Jan-21,7:09/mi,168bpm,3:07:09,male
22,Scott Kunz,15-Feb-20,7:10/mi,-,3:07:39,male
23,Dustin McQuay,29-Jan-22,7:12/mi,167bpm,3:08:31,male
24,Bear Haslam,30-Jan-21,7:13/mi,166bpm,3:08:56,male
25,Haden Penrod,29-Jan-22,7:14/mi,-,3:09:08,male
26,Shaneil Mehta,30-Jan-21,7:19/mi,171bpm,3:11:27,male
27,Alex Maison,30-Jan-21,7:20/mi,167bpm,3:11:55,male
28,Vern Masur,15-Feb-20,7:23/mi,-,3:12:59,male
